#SampleID	Treatment
N0446	Both
N0722	Both
N0799	Both
N0900	Both
N0950	Both
N1131	Both
N1140	Both
N1191	Both
N1289	Both
O0027	Both
O0143	Both
O0159	Both
O0202	Both
O0367	Both
O0415	Both
O0490	Both
O0599	Both
O0895	Both
O0901	Both
O0923	Both
O0935	Both
O0947	Both
O1002	Both
O1008	Both
O1135	Both
O1141	Both
O1168	Both
O1318	Both
O1367	Both
O1634	Both
P0022	Both
P0025	Both
P0043	Both
P0068	Both
P0292	Both
P0694	Both
P0797	Both
P0818	Both
P0932	Both
P1731	Both
N0477	Neither
N0539	Neither
N0879	Neither
N0967	Neither
N1208	Neither
N1358	Neither
N1418	Neither
N1466	Neither
N1539	Neither
N1542	Neither
N1593	Neither
N1625	Neither
N1628	Neither
O0024	Neither
O0038	Neither
O0046	Neither
O0134	Neither
O0171	Neither
O0211	Neither
O0217	Neither
O0226	Neither
O0238	Neither
O0241	Neither
O0346	Neither
O0359	Neither
O0379	Neither
O0412	Neither
O0529	Neither
O0532	Neither
O0540	Neither
O0602	Neither
O0605	Neither
O0616	Neither
O0624	Neither
O0657	Neither
O0669	Neither
O0816	Neither
O0886	Neither
O0898	Neither
O0920	Neither
O0964	Neither
O1020	Neither
O1023	Neither
O1040	Neither
O1046	Neither
O1132	Neither
O1138	Neither
O1150	Neither
O1153	Neither
O1180	Neither
O1204	Neither
O1216	Neither
O1239	Neither
O1242	Neither
O1264	Neither
O1306	Neither
O1321	Neither
O1348	Neither
O1399	Neither
O1405	Neither
O1497	Neither
O1538	Neither
O1547	Neither
O1653	Neither
P0037	Neither
P0040	Neither
P0052	Neither
P0055	Neither
P0101	Neither
P0114	Neither
P0120	Neither
P0123	Neither
P0129	Neither
P0301	Neither
P0313	Neither
P0374	Neither
P0384	Neither
P0403	Neither
P0412	Neither
P0418	Neither
P0484	Neither
P0523	Neither
P0576	Neither
P0685	Neither
P0691	Neither
P0788	Neither
P0929	Neither
P0953	Neither
P0956	Neither
P0959	Neither
P1122	Neither
P1415	Neither
P2400	Neither
P3634	Neither
