# Constructed from biom file
#OTU ID	N0446	N0477	N0539	N0722	N0799	N0879	N0900	N0950	N0967	N1131	N1140	N1191	N1208	N1289	N1358	N1418	N1466	N1539	N1542	N1593	N1625	N1628	O0024	O0027	O0038	O0046	O0134	O0143	O0159	O0171	O0202	O0211	O0217	O0226	O0238	O0241	O0346	O0359	O0367	O0379	O0412	O0415	O0490	O0529	O0532	O0540	O0599	O0602	O0605	O0616	O0624	O0657	O0669	O0816	O0886	O0895	O0898	O0901	O0920	O0923	O0935	O0947	O0964	O1002	O1008	O1020	O1023	O1040	O1046	O1132	O1135	O1138	O1141	O1150	O1153	O1168	O1180	O1204	O1216	O1239	O1242	O1264	O1306	O1318	O1321	O1348	O1367	O1399	O1405	O1497	O1538	O1547	O1634	O1653	P0022	P0025	P0037	P0040	P0043	P0052	P0055	P0068	P0101	P0114	P0120	P0123	P0129	P0292	P0301	P0313	P0374	P0384	P0403	P0412	P0418	P0484	P0523	P0576	P0685	P0691	P0694	P0788	P0797	P0818	P0929	P0932	P0953	P0956	P0959	P1122	P1415	P1731	P2400	P3634	taxonomy
OTU_74	150.0241842	791.4140861	298.7358241	3706.842137	546.467595	554.4772644	1709.992795	117.85557	603.055957	1035.640263	827.0433248	2699.454879	14729.4002	295.8097681	605.3828012	554.057034	1152.293658	76.84127215	1959.420793	1928.544882	299.4408846	119.3059498	797.9087678	2439.280567	297.0613957	4494.371931	330.6456552	1374.226754	260.1091495	1792.712195	559.2379162	112.6006127	942.4296386	775.8377954	1373.032855	197.6676042	201.1873872	332.6585178	105.6166642	180.4502254	399.4063127	3326.585472	998.3921497	1329.021383	1526.150918	263.2866933	456.5412623	1082.565961	141.9718349	954.7334597	437.6319138	49.26280999	281.072412	263.1120698	16777.75964	3307.171908	517.8439929	3410.583996	1722.686578	287.5116597	641.636649	10187.36498	1169.808828	158.19956	154.0709531	1385.632114	738.5155869	1506.872094	119.8951136	14111.48141	617.4995954	2941.642127	24.41481493	820.0920259	696.7918581	459.2052032	940.1782796	4470.285655	1230.259106	115.4548691	3992.356989	43.54062774	668.1608461	350.8386865	1271.116077	441.8334468	1743.676265	1800.482985	1456.787586	5920.2649	623.991861	2189.918569	1065.564535	352.8024717	874.1424644	1070.021037	342.1925109	111.7834127	1365.440348	415.2678417	164.2082811	92.90729324	4185.812479	800.7993127	1269.78568	3170.559168	6061.637488	982.5097796	853.5960118	1157.329459	245.1436917	540.5753081	134.2485659	1198.777808	1107.441334	3301.324911	1612.347586	4310.933685	236.7755164	907.7271439	149.428369	1898.987404	333.6853901	31633.57315	1060.288586	8532.54185	5139.466541	2342.587716	262.2566362	567.438588	2112.696695	332.8576886	363.1378865	210.4366548	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Brevibacteriaceae: g__Brevibacterium: s__paucivorans
OTU_26	1223.223502	824.226911	3691.102858	32465.4025	282.6556526	5796.411638	134.8159249	2341.780593	192.9779062	441.247296	36.64991322	9287.974033	1213.961555	2952.686526	2542.13171	4801.506436	4495.58749	503.0928573	13332.41551	1893.84099	202.1541837	935.5434867	5287.836072	6646.223341	801.4246286	1111.984355	111146.537	1795.506103	1691.485145	559.5323483	527.1145894	621.1195087	1346.609714	4798.225484	2672.812247	10747.80719	732.8969104	3313.740208	484.7658873	30656.19665	7578.938563	608.7358753	432.2763679	2044.648282	3005.59995	1517.770349	779.5487167	2830.829199	1510.725935	2277.65131	3519.490354	1192.160002	28971.18267	468.560972	427.7089853	2550.898655	1283.460231	1744.872166	1203.55265	79.57912009	1656.244355	1899.859592	655.6419515	7418.900198	50.49384176	160.402649	335.5566554	7226.731657	7104.451564	13241.64017	2641.605827	2658.837433	720.2370403	891.6636936	828.162872	1274.627635	681.5373187	333.3870625	1582.884995	2509.219154	2504.015307	1836.278648	15460.34929	214.5906529	39365.89313	1751.920993	528.4342638	942.4717338	7911.876032	6104.887119	584.0529463	3472.404555	592.4715673	723.2804179	2077.703148	24466.9171	3282.310565	775.7499484	2592.508317	932.7663065	905.1004067	1650.28548	7685.071305	2733.141083	1221.518973	306.0831255	18342.79191	1202.975389	2428.511656	1872.893059	13580.57748	668.1563419	2114.82926	1808.226386	290.8431785	286.8529267	789.9007816	1136.435982	54094.42053	6672.197175	6023.179549	2648.848199	1403.90884	2929.627473	3455.1651	2383.299177	2972.307906	3171.727159	3299.394624	5850.59458	88.69545655	7391.654468	654.4927025	2273.205259	k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__Ruminococcaceae: g__Faecalibacterium: s__prausnitzii
OTU_40317	3344.618106	4377.387092	2826.693596	1795.465195	284.5400236	1858.969453	877.8531202	585.4451484	78.39727441	1089.622645	981.2495635	105.9936335	850.3770494	535.7042751	468.1203836	260.1659116	75.26858811	5431.5664	244.9275991	334.1489077	299.4408846	430.1735655	533.2271669	188.4262617	712.3774477	52.54431567	33.06456552	1763.215529	1761.295752	410.4464266	374.5287872	715.5587323	1510.253354	307.7703651	631.1067569	2314.972837	1225.414085	957.0813622	628.8328579	792.0124436	433.6411395	687.7544745	5367.708668	16811.09818	403.6377292	6382.379194	471.8796051	151.8823885	4666.869033	2128.810812	6450.662349	2963.158021	5340.375828	1155.936481	214.2115118	3754.66744	851.5106167	804.9825581	330.5695867	509.9909201	110.6270084	520.1136526	6346.318471	408.6821966	745.1078445	2348.048008	936.3582392	859.615258	1526.664446	39.06472662	1061.237677	689.2624855	118.0049388	301.197435	2912.232638	61.7927846	265.1784891	158.6553452	889.7301595	261.6977032	7323.541398	751.5490961	491.6527684	183.3671452	642.155527	95.04556705	5723.397812	239.9750218	905.1814118	493.4697963	2933.577703	316.7585871	1063.353821	1119.211047	704.0507041	383.5924474	441.4283391	1657.222763	245.9953396	3109.221022	452.5502033	155.8952887	269.8279563	190.4278716	950.4828485	564.8099938	500.0812041	1310.332555	314.8453409	233.0193541	3507.661494	482.703499	641.4098148	98.92012681	2217.368506	597.1908883	394.9503908	476.4596193	1973.687078	510.8122331	1505.577695	435.562706	629.0483685	144.0800396	5656.270519	353.2417981	1538.676663	419.9455301	1856.410512	1093.735938	2131.599005	952.7161872	1237.202334	316.4706281	k__Bacteria: p__Cyanobacteria: c__Chloroplast: o__Streptophyta: f__: g__: s__
OTU_759	2.632003231	11.71886603	138.0711792	4.667587161	85.73888129	66.99479717	51.91187913	62.28139876	54.27503613	42.24708153	74.68284204	12.4035103	31.40597057	367.958492	45.2251896	51.06960488	52.45992505	29.47998491	0	3.966159141	74.54435524	73.5159902	1.931982489	47.57296707	44.8797792	8.553725806	66.12913104	26.28302535	6.205387264	3.681133871	24.09249508	1020.67007	7.88644049	23.51023622	39.44417231	5.900525497	22.20899728	14.15568161	141.6334068	5.249461101	1.630229848	0	14.13211203	8.178593129	21.68301851	3.097490509	0.902255459	1.077180061	2.184182075	54.83597307	12.82437843	25.86297524	1.295264571	93.55944428	3.570191864	1.160818501	28.90676196	5.574671455	111.7418321	224.1906394	211.7717019	23.47735237	65.45861674	2.197216111	69.91455014	9.870932245	39.27758538	22.54490101	101.2447626	83.33808345	56.00577726	120.6948902	362.1530881	260.1928337	306.3572046	1151.042066	97.65432804	3.426112105	32.05689902	61.57593017	19.69450241	36.91488004	81.82941537	596.0851469	181.2110117	51.37598219	20.38470454	8.043855481	19.44303749	26.08046211	68.71211133	81.47227517	2.210714804	47.37027175	92.58159106	58.32399785	49.27572158	692.2490859	115.5180818	9.870542926	12.70659318	26.76989805	8.504606072	21.54841705	44.55388352	22.23434025	27.22059431	11.50255352	36.51379227	14.07825265	9.575925455	10.52214712	16.57389702	18.44273551	23.61547176	0	15.83320052	136.7826658	29.28319107	17.83240904	77.32049327	4.124646837	1.869385939	0	1.677671814	9.057482002	2.387395908	8.854273224	6.871352914	0.776249778	180.2989609	83.0167632	46.44786921	1814.812236	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Paenibacillaceae: g__: s__
OTU_43333	6587.904087	4422.700041	11863.24308	3683.504201	8400.525995	7184.783491	514.4699663	282.6617328	7128.121412	59787.24831	36481.87683	36979.37458	2828.953195	4803.301295	3525.184516	1148.584321	10433.59483	50879.55429	30004.58022	37093.50337	3087.905156	2538.612165	2435.263927	67650.62478	17560.81646	48103.71001	2116.132193	8575.775699	22456.77939	2952.269364	4628.679358	3218.198156	1240.142767	3357.689192	2967.704392	237.9878617	188.1232711	5066.161163	265.7451551	2535.489712	4354.343924	11661.58438	17950.27618	752.4305679	16764.30916	3854.826938	4587.066754	22099.42612	927.5493211	2927.849276	11145.18638	775.8892573	942.952608	3534.255742	28929.97871	975.0875405	7440.60053	1447.18471	12722.27318	11298.52367	4210.147864	260562.4923	1021.999048	636.0940641	7524.877137	1625.002221	5986.194958	2151.21991	980.4755956	384.1364784	2982.666651	2804.381271	1306.192598	1331.531235	4356.262823	3699.085713	14421.78729	4682.441059	3309.723612	469.5164676	2910.566107	3045.004335	102073.7422	12727.83714	6825.321553	314.2497577	3468.53588	512.1254656	9383.065868	9693.009643	8594.596775	2866.278922	2263.771959	917.0036188	1199.254563	3831.438012	1311.281702	11415.37598	2090.544854	12824.65542	2035.00977	25239.28976	61038.33092	7612.60473	3616.290213	2251.154761	38100.277	822.4325764	1507.399575	6326.475465	3675.24019	15165.04453	180.6554776	103752.9618	1920.31073	23750.08033	21771.53034	15883.88707	2597.000716	34073.13176	5176.129201	1165.625196	2496.564922	7322.467792	4288.129155	17689.65615	6777.816983	77330.0601	1053.607447	761.5010326	11395.18513	993.8292508	3365.359251	11918.2186	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__aureus
OTU_45227	204.6382512	307.0342901	249.3649176	2100.414222	50.87801747	122.0067851	247.9373331	61.3232234	132.6723105	78.03974783	89.20450577	563.7959228	2943.70578	342.7064386	537.941729	315.0898263	241.3156552	131.451736	233.5356177	558.2368991	49.27508227	47.4703251	1330.169943	100.7427538	73.37487711	190.6258894	33.06456552	131.4151267	78.0844564	207.9840637	394.2408286	69.01327875	468.2574041	138.9241231	405.7114866	19.66841832	3425.411228	153.6153597	41.85729549	139.7669018	53.79758498	254.6154863	44.0589375	625.6623744	478.6943317	100.6684415	192.1804128	944.6869131	23.29794213	71.48260775	791.1038442	83.74677698	64.76322857	21.38501584	836.8529729	75.45320254	154.4446996	122.642772	435.3275543	160.8696191	243.3794186	709.7384218	201.6547709	370.2309147	38.84141674	46.88692817	28.12469077	249.4484209	22.64685479	489.6112403	238.3835648	68.63042774	48.82962985	408.5549365	291.118167	201.1294558	48.62286626	2411.455827	289.7217855	138.5458429	2913.379607	26.5029908	161.6300023	19.30180476	61.57655738	40.24451938	661.7188704	140.7674709	184.3487999	77.55505839	223.3143618	3202.703231	689.7430187	56.56151851	66.74486797	145.8099946	93.07636298	25.58897399	205.6886708	51.46783097	3.909720979	12.59759908	245.8604301	68.15313299	207.9181231	568.2750858	346.0904134	108.3157123	122.6312269	132.5297577	826.4023668	94.69932405	17.40259187	118.2011685	344.2887199	5129.802631	445.0888591	3609.922523	179.8824594	88.58680619	42.56970978	135.2884163	462.6730199	858.0766805	68.78454435	312.6800309	2058.532122	513.547847	133.9913818	134.2912117	18.90231041	21.34716768	185.7914768	37.51971364	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Corynebacteriaceae: g__Corynebacterium: s__
OTU_3735	7076.140686	738.2885601	2457.66699	423.1945693	701.928204	485.3037746	166.5828957	531.7873279	235.1918232	224.7310032	497.1941058	107.1212253	652.2778504	454.5369607	172.1730903	95.3941676	504.9838002	930.3109993	212.6503186	388.6835958	8642.091353	420.0913726	222.1779862	1228.501914	714.51458	342.1490323	826.6141379	1551.449439	1669.249174	942.3702709	1870.453709	773.6751775	476.1438446	914.7619185	338.0929055	1078.812745	926.2458279	507.5074	1339.433456	937.0288066	537.9758498	3115.869208	263.5223243	723.8054919	572.0981037	205.9831188	1504.05985	419.0230435	326.8992505	2018.159652	446.448674	1729.124631	237.0334166	1669.940612	350.592841	2906.689526	504.6294732	1666.826765	444.6393736	629.787445	470.9549788	987.8547499	1415.806533	522.9374344	429.8450119	882.2145694	992.1227123	416.7170413	746.0140401	117.1941799	98.3691216	1150.151306	31393.38286	392.8986342	284.2868742	4589.628786	318.295906	649.3800174	364.1179851	146.2428342	444.5330545	622.8202837	231.2864467	307.1257757	407.2849438	149.8466147	70.56243878	117.9765471	406.8635622	206.5847131	715.0354085	502.1782478	426.6679571	419.2622559	1799.958375	939.9136576	994.4114368	760.2618852	566.3710268	549.9302487	1427.048157	10651.27003	844.2754391	256.0753747	6571.69782	689.2645477	364.7559638	2208.490275	2766.092	2136.010746	218.3311004	1073.259006	1074.817222	612.8018025	674.9053245	850.4937651	482.0329936	299.7820093	1813.047858	2613.886022	2243.163074	797.7066984	351.4445566	208.1156128	903.4262716	593.4619729	1763.091878	511.0180547	1527.730798	967.9834737	4572.905096	1242.87954	971.1827198	998.3506413	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__viridiflava
OTU_18	1586.439947	594.5371367	1753.085579	4034.35117	265.6963134	218.9586054	2996.942514	645.8101964	373.8946934	934.1299139	302.1889071	1524.504175	3544.042987	477.9852959	883.8747582	3879.362816	1911.365965	676.5898177	2052.455307	1048.057553	1499.73135	415.4703675	1097.366054	2173.431633	1426.892028	457.0133502	420432.4828	1911.151414	568.3100502	1463.250714	1421.45721	1162.328905	1842.46966	19436.55347	758.8307434	813.2890977	1052.967754	5442.859579	602.0636573	1233.623359	624.3780318	1374.533411	1547.050617	1108.199369	283.5471651	2081.513622	2960.300161	3334.949467	1288.667424	473.9394815	617.9747354	4391.779511	873.0083211	853.1093818	1009.650259	1015.716188	380.7433505	290.99785	2958.830596	673.4276076	1656.244355	758.4990767	1536.165925	2923.396035	243.4062116	438.0226184	496.5462646	3609.365927	1029.765809	600.2946324	2732.076698	4050.37852	13318.28154	7074.41203	791.3789881	1209.199981	269.2644443	2355.583845	635.0895088	26269.83121	500.8030614	11082.03629	1644.703621	1776.333738	2407.643394	844.2786406	1403.408505	2108.830779	1049.203912	934.0923405	4381.255999	62187.9281	1414.857474	562.7871091	9667.240554	6962.988051	10343.79522	800.6655283	848.1021758	380.7209414	759.4633002	1056.623623	2199.600389	362.314082	1678.196279	1172.356122	654.8497261	2249.707759	6108.826341	1854.445693	368.67313	17994.18684	1017.637277	255.6833786	444.9652047	7310.555875	1379.24769	2594.311229	833.3159515	755.2888086	1145.907086	1824.743761	1030.966345	649.9610677	471.4257796	713.5720604	617.7386912	1091.605399	3341.767967	2518.154281	751.7303449	1623.175379	4986.81214	81.56459488	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__
OTU_89	91.46211227	4775.047279	149.7863096	49.78759638	600.172169	320.812484	118.5450374	352.6085345	524.6586826	454.7428915	874.065855	119.5247356	193.2675112	367.958492	117.4268081	738.1003271	607.1666108	389.0391451	15.18930847	328.1996689	19156.63583	357.4977581	229.9059162	11087.29974	997.3284267	702.627477	1686.292841	446.8114309	1945.388907	377.3162217	7333.609488	1550.982633	685.1345176	1062.235218	1649.142061	190.7836577	8473.38567	945.5471031	315.3898544	494.1055262	386.364474	88.77398181	355.7967028	441.644029	431.9924457	1274.617344	4663.758468	323.1540182	1123.397647	472.9602677	355.0749777	149.0200002	349.7214343	593.8160647	714.7524111	19909.1981	556.6616447	274.2738356	1303.654708	370.5135376	366.6495137	249.2211252	1725.151286	260.3701091	115.2295363	167.8058482	362.7115292	1309.786023	522.2098281	8846.858421	61.03193676	198.7915838	248.2172851	1231.629115	70.94034754	799.6713301	407.7783238	48.75621072	128.8324432	2193.642512	80.18475983	775.2124808	81.82941537	203.8043502	275.335178	338.2252161	188.1665034	182.3273909	140.4219374	3155.735916	2943.025618	232.4769231	53.05715528	1082.44606	3541.784123	1224.803955	433.9001039	288.2126544	614.1572836	439.2391602	140.7499552	225.1820836	349.461995	3443.236594	1748.739928	2746.374157	101.1050646	615.3866131	306.5780672	679.6397829	843.6390326	2844.925527	628.979392	137.4822101	226.2113611	224.7853344	446.8481036	3022.896915	448.4511546	323.8595577	1015.591648	277.1762675	234.6079354	621.1450598	507.4957236	43.31839219	497.1751979	117.6353443	15656.37762	397.4398866	367.8680411	248.2596538	126.6760069	17.94421087	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Carnobacteriaceae: g__Desemzia: s__
OTU_161	46.71805735	419.535404	474.4627795	266.0524682	3375.850678	137.8023064	340.9138331	168.6388643	144.7334297	299.8369259	53.93760814	170.2663687	190.8516673	126.2602669	148.3703589	256.3116018	223.524898	147.3999246	463.2739083	355.9627829	106.1309464	128.1278686	481.0636397	131.5252619	175.9572296	89.20314055	611.6944621	146.4339984	62.05387264	272.4039064	123.3827779	450.4024508	568.8095204	254.3380101	708.1168076	569.4007105	317.45802	92.53621497	2326.486889	40.0271409	218.4507996	99.50490269	61.51625235	838.3057957	146.7773561	97.57095103	164.2104936	104.4864659	350.1971927	1617.661206	454.4639105	422.4285957	170.9749234	337.57775	53.55287796	35.40496427	642.5560231	234.1362011	109.4138773	39.36171531	69.53697673	184.2069186	64.4028326	264.7645414	58.90948206	180.1445135	217.7238992	229.8125394	101.2447626	1888.128453	91.90691653	275.1133526	48.82962985	1662.550198	56.75227803	50.88817555	143.0084302	142.578973	1294.977751	392.5465548	91.43876121	131.5684186	195.4438103	70.39481735	111.7174684	408.4390584	133.2846066	243.9969496	980.7932243	83.73200995	1185.28392	332.2102255	161.3821807	145.6459102	1840.86652	497.9972124	1334.550793	302.3539295	43.21539749	394.821717	222.8540958	256.6760813	409.7673835	137.8096439	63.11800166	97.31133329	393.5320207	393.9624579	744.054635	97.57685454	203.9672122	199.9207952	321.5336023	366.3397917	95.7048066	266.7228968	886.6592292	255.3276429	60.23970734	108.1449322	33.8820139	150.9620743	157.9631119	67.23735183	166.0895095	2025.331736	93.70528939	195.426459	37.79244103	310.4999114	196.2932235	366.0643939	354.6928194	579.1086236	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__: g__: s__
OTU_1721	1508.137851	2881.278529	763.9938583	1979.834887	6144.933888	41693.64011	1428.738882	972.5479961	4293.758414	4533.93332	4907.630833	1773.701973	696.9709623	1736.980528	3506.142331	2373.291261	3803.116479	4585.829128	1146.79279	8862.382601	7440.537423	1668.182841	1693.382651	17962.99268	3014.068981	3911.496615	53647.25755	403.2567032	1747.33363	1923.392447	8860.197586	1202.283961	1307.177511	18528.20344	6224.666049	3050.571682	380.165777	3075.977185	1704.954722	795.2933568	6013.917909	3739.238157	10362.16332	5295.639051	2396.807507	6287.905733	2464.961914	17169.17298	1726.959961	4271.330616	1560.56655	1285.759341	4034.74914	1825.745727	13256.12239	1034.289284	3883.416993	1405.932141	6995.504281	424.4219738	6504.868096	12340.0576	634.5262687	6375.222546	9537.509881	5822.616158	1784.948047	944.704078	748.678376	1563.891222	546.4153397	1731.735017	866.7259298	5401.424298	956.9064657	5793.982274	2822.169221	1719.644729	794.1643096	777.3961184	1523.510437	2148.635325	4694.709103	1911.446371	1116.295019	3724.758709	366.9246817	7100.043104	7649.034969	84548.74021	2348.665855	7015.043831	17933.31849	4898.227503	1016.244441	8867.490903	9144.068277	1485.50728	3999.501932	12268.37982	4907.677259	4543.009169	27246.43842	3988.461658	26104.86292	2003.111926	3499.790697	4082.447952	2715.799418	8930.466747	272.9138755	2805.467475	2525.033212	5186.600208	1972.513352	2313.275941	1541.098184	2114.432043	846.7025532	3411.742516	1912.161862	4961.950145	5521.231371	2715.108303	4311.616561	1702.019009	1248.011211	4321.517782	6485.411926	3625.862715	2098.156456	3188.634343	3783.390074	14628.61009	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__sciuri
OTU_5128	7.896009693	11.71886603	15.89910549	17.11448626	0	1.634019443	11.62206249	19.16350731	30.15279785	45.18090664	58.77816272	20.29665322	91.80206783	0	3.967121895	10.59935196	18.24693045	0.483278441	3.797327118	28.75465377	6.31731824	18.48402039	1.931982489	110.0707866	56.27781837	3.665882488	297.5810897	40.55095339	5.171156053	18.40566935	2.190226826	39.95505612	4.929025306	10.68647101	571.0013515	0	1.306411605	4.980702789	1.460138215	4.593278464	27.71390741	0.975538262	0	8.178593129	70.05282903	3.097490509	27.06766377	22.62078127	8.008667608	5.875282829	1.603047303	13.54727275	378.2172548	42.00628111	2.856153491	237.3873834	15.69224221	16.72401437	0	8.556894633	9.482315009	14.44760146	0	237.29934	3.884141674	2.467733061	13.09252846	29.81744973	19.98251893	0	5.744182283	1.183283237	4.069135821	17.14737872	2.627420279	42.40681296	6.537528237	80.90895508	0	69.27292144	5.62700069	44.48716312	0.67627616	13.05710322	27.26961827	50.51971582	1.568054195	130.0423303	5.040787496	0.68632795	73.86551968	0	4.421429607	7.777208795	90.4285308	1058.804884	5.475080175	21.54860968	4.986392019	28.20155122	0	185.8145865	75.76830864	17.03828325	3.712823627	38.40476952	200.6546667	38.34184506	381.6724702	0	7.660740364	23.67483101	10.77303307	3.353224638	12.42919566	31.87254741	7.036978009	86.6290217	11.71327643	3.451434007	0	11.54901114	27.10609612	0	183.7050636	32.68569592	0.596848977	17.70854645	10.30702937	5.433748449	0	7.11572256	0	26.10067036	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Morganella: s__
OTU_16	18043.69815	5007.862085	4414.09376	3716.177311	1395.376738	2156.905665	3580.370051	18333.72744	9365.459013	2182.765879	573.2599634	8821.151009	11861.7935	6926.277496	8844.301553	3530.547779	4586.365969	36097.03333	8422.471547	2676.165881	766.9224344	1524.931682	966.9572356	22012.29171	1629.207223	2547.788329	14515.34426	55754.55714	3671.520798	42318.31498	44781.37768	750879.0019	2128.353127	799.3480316	4021.427281	6793.471689	6296.903936	5472.743796	2738.245866	13564.60749	758.0568793	7899.908843	5352.745255	960.9846927	2061.554683	1370.63955	15621.65102	4670.652742	9320.632974	3614.278153	1528.505604	21139.90334	28732.85399	8463.501892	21579.6677	3689.081195	9294.762833	15587.89632	2837.776945	7204.905281	477.2765221	10290.30414	5764.581409	21799.67964	8976.898766	7134.21628	3407.936668	15443.25719	1968.944199	4303.630716	3521.901762	2728.059503	674801.0697	9228.271906	879.1348255	14458.29997	9457.760381	39536.2795	10309.61969	345787.3329	9413.972154	1809.775657	6881.786205	5616.257484	15302.65417	44775.88101	7887.312602	25549.96629	11819.92657	2258.018957	6502.742436	1720.750639	5334.454821	4327.663185	17030.70663	6500.882529	6508.501558	3669.997586	511.5207146	2412.642707	28130.44244	12603.89788	3744.34611	1816.080544	73391.38464	24829.9829	1097.378816	703.5728568	14082.61185	407.2984127	12772.36937	7933.698926	6706.627431	8222.106811	5590.652209	19982.40972	1408.275224	3836.753777	1009.851761	698.9153865	298.856738	2459.939374	19535.08306	4357.620755	1367.302528	15919.50913	1114.913889	363.6576503	1376.561034	4896.583602	1523.817024	15096.40073	2166.159719	4812.311098	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Moraxellaceae: g__Acinetobacter: s__
