OTU_108	Rhodobacteraceae	Rubellimicrobium
OTU_127	Brucellaceae	Ochrobactrum
OTU_46481	Staphylococcaceae	Staphylococcus
OTU_40862	Enterobacteriaceae	Erwinia
OTU_2398	Staphylococcaceae	Staphylococcus
OTU_8	Pseudomonadaceae	Pseudomonas
OTU_37123	Pseudomonas	stutzeri
OTU_1	Staphylococcaceae	Staphylococcus
OTU_43333	Staphylococcus	aureus
OTU_22	Methylobacteriaceae	Methylobacterium
OTU_23	Rhizobiales	Bartonellaceae
OTU_44	Pseudomonadaceae	Pseudomonas
OTU_40	Kocuria	palustris
OTU_17848	Serratia	marcescens
OTU_25144	Enterobacteriales	Enterobacteriaceae
OTU_26343	Bacteroidaceae	Bacteroides
OTU_65	Lactobacillaceae	Lactobacillus
OTU_43735	Pseudomonadaceae	Pseudomonas
OTU_498	Coriobacteriales	Coriobacteriaceae
OTU_168	Corynebacteriaceae	Corynebacterium
OTU_22880	Enterobacteriales	Enterobacteriaceae
OTU_277	Moraxellaceae	Acinetobacter
OTU_35751	Staphylococcaceae	Staphylococcus
OTU_37035	Bacillales	Planococcaceae
OTU_1233	Enterococcaceae	Enterococcus
OTU_1250	Xanthomonadales	Xanthomonadaceae
OTU_31	Weeksellaceae	Wautersiella
OTU_36	Burkholderiales	Oxalobacteraceae
OTU_1216	Alphaproteobacteria	Sphingomonadales
OTU_15259	Neisseriaceae	Neisseria
OTU_837	Sphingomonadales	Sphingomonadaceae
OTU_14	Aeromonadales	Aeromonadaceae
OTU_76	Prevotellaceae	Prevotella
OTU_32115	Rhizobiales	Brucellaceae
OTU_53	Rhabdochlamydiaceae	Candidatus Rhabdochlamydia
OTU_57	Shewanellaceae	Shewanella
