Selected Model	OTU_IDs	High_minus_Low_mean	Significant Group	BIC value of Selected Model (Lowest)	q-value for selected model	taxonomy	# of 0's in High	# of 0's in Low	# of non-zeroes in High	# of non-zeroes in Low	Total count in High	Total count in Low
NB	OTU_43333	2129.15875613748	High	1252.41593642472	0.0246277594970346	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__aureus	0	0	26	47	92438	67029
NB	OTU_65	-344.066284779051	Low	989.03224531999	0.00850807673678669	k__Bacteria: p__Firmicutes: c__Bacilli: o__Lactobacillales: f__Lactobacillaceae: g__Lactobacillus: s__	0	0	26	47	4431	24181
NB	OTU_76	-519.18085106383	Low	823.218686394293	0.00041747750361995	k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__Prevotellaceae: g__Prevotella: s__	3	4	23	43	1859	27762
NB	OTU_15259	-117.301145662848	Low	920.209890648356	0.0454575267482716	k__Bacteria: p__Proteobacteria: c__Betaproteobacteria: o__Neisseriales: f__Neisseriaceae: g__Neisseria: s__	0	0	26	47	3074	11070
NB	OTU_44	411.730769230769	High	1050.31124381978	0.0312152740437968	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Pseudomonadales: f__Pseudomonadaceae: g__Pseudomonas: s__	0	0	26	47	19753	16356
NB	OTU_1216	8.26513911620295	High	442.701767764978	0.0302398120968855	k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Sphingomonadales: f__: g__: s__	4	11	22	36	346	237
NB	OTU_2398	551.277414075287	High	1057.64768635375	0.0123971606835338	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus	0	0	26	47	23587	16728
NB	OTU_1	1070.36006546645	High	1251.39788259669	0.0229353244448888	k__Bacteria: p__Firmicutes: c__Bacilli: o__Bacillales: f__Staphylococcaceae: g__Staphylococcus: s__	0	0	26	47	74038	83531
NB	OTU_108	217.527004909984	High	954.791476577176	0.019812629738367	k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodobacterales: f__Rhodobacteraceae: g__Rubellimicrobium: s__	0	0	26	47	10240	8287
NB	OTU_25144	618.761047463175	High	1043.47950651794	0.000638949389258828	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__: s__	0	0	26	47	23630	13634
NB	OTU_498	-32.8780687397709	Low	313.433018057899	1.75019007256356e-05	k__Bacteria: p__Actinobacteria: c__Coriobacteriia: o__Coriobacteriales: f__Coriobacteriaceae: g__: s__	20	22	6	25	17	1576
NB	OTU_40862	-294.103109656301	Low	891.761603817824	0.00266328013208703	k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Enterobacteriales: f__Enterobacteriaceae: g__Erwinia: s__	0	0	26	47	2334	18042
NB	OTU_40	-769.464811783961	Low	1112.4582735602	0.00707825687013521	k__Bacteria: p__Actinobacteria: c__Actinobacteria: o__Actinomycetales: f__Micrococcaceae: g__Kocuria: s__palustris	0	0	26	47	9978	54202
